Date,PEP
2023-01-03,161.05917358398438
2023-01-04,160.6641845703125
2023-01-05,158.98544311523438
2023-01-06,162.5762939453125
2023-01-09,160.9873504638672
2023-01-10,159.65872192382812
2023-01-11,159.83824157714844
2023-01-12,157.80043029785156
2023-01-13,157.31570434570312
2023-01-17,158.0518035888672
2023-01-18,154.06593322753906
2023-01-19,152.2794952392578
2023-01-20,152.50392150878906
2023-01-23,151.82167053222656
2023-01-24,153.23106384277344
2023-01-25,154.34425354003906
2023-01-26,152.8091278076172
2023-01-27,152.27052307128906
2023-01-30,152.1448516845703
2023-01-31,153.52732849121094
2023-02-01,154.0120849609375
2023-02-02,152.584716796875
2023-02-03,151.82167053222656
2023-02-06,154.24549865722656
2023-02-07,154.0120849609375
2023-02-08,153.6529998779297
2023-02-09,155.1072998046875
2023-02-10,158.177490234375
2023-02-13,159.58692932128906
2023-02-14,157.79147338867188
2023-02-15,158.0068817138672
2023-02-16,157.55804443359375
2023-02-17,158.24928283691406
2023-02-21,158.1595458984375
2023-02-22,158.10565185546875
2023-02-23,158.27626037597656
2023-02-24,157.9620361328125
2023-02-27,157.9171600341797
2023-02-28,155.7805938720703
2023-03-01,153.8056182861328
2023-03-02,156.64349365234375
2023-03-03,156.4898223876953
2023-03-06,156.80616760253906
2023-03-07,156.02890014648438
2023-03-08,156.4536895751953
2023-03-09,155.269775390625
2023-03-10,155.4776153564453
2023-03-13,156.9959716796875
2023-03-14,156.83328247070312
2023-03-15,159.635009765625
2023-03-16,159.5265655517578
2023-03-17,158.27932739257812
2023-03-20,160.50262451171875
2023-03-21,160.8822479248047
2023-03-22,159.5265655517578
2023-03-23,158.74929809570312
2023-03-24,161.85829162597656
2023-03-27,162.2198486328125
2023-03-28,162.1656036376953
2023-03-29,163.28627014160156
2023-03-30,163.430908203125
2023-03-31,164.7594451904297
2023-04-03,164.94020080566406
2023-04-04,164.35275268554688
2023-04-05,165.97052001953125
2023-04-06,166.62123107910156
2023-04-10,165.57286071777344
2023-04-11,165.31980895996094
2023-04-12,164.99441528320312
2023-04-13,166.63931274414062
2023-04-14,165.85302734375
2023-04-17,166.7025604248047
2023-04-18,167.0460205078125
2023-04-19,166.94662475585938
2023-04-20,167.49789428710938
2023-04-21,167.5702362060547
2023-04-24,167.6515655517578
2023-04-25,171.4564666748047
2023-04-26,170.39903259277344
2023-04-27,171.43838500976562
2023-04-28,172.52294921875
2023-05-01,173.23690795898438
2023-05-02,173.7520751953125
2023-05-03,173.6887969970703
2023-05-04,174.77337646484375
2023-05-05,175.5777130126953
2023-05-08,174.74624633789062
2023-05-09,175.46023559570312
2023-05-10,175.5777130126953
2023-05-11,176.54478454589844
2023-05-12,177.24972534179688
2023-05-15,175.5777130126953
2023-05-16,174.8185577392578
2023-05-17,173.5803680419922
2023-05-18,173.12847900390625
2023-05-19,173.38153076171875
2023-05-22,168.681884765625
2023-05-23,168.1667022705078
2023-05-24,167.10025024414062
2023-05-25,166.1151123046875
2023-05-26,165.91629028320312
2023-05-30,164.1358642578125
2023-05-31,164.8046417236328
2023-06-01,165.81028747558594
2023-06-02,167.5121612548828
2023-06-05,167.63046264648438
2023-06-06,165.23692321777344
2023-06-07,163.9172821044922
2023-06-08,165.7283935546875
2023-06-09,165.95591735839844
2023-06-12,165.54637145996094
2023-06-13,165.21875
2023-06-14,166.70217895507812
2023-06-15,169.01382446289062
2023-06-16,169.31414794921875
2023-06-20,168.64979553222656
2023-06-21,168.7589874267578
2023-06-22,170.5063934326172
2023-06-23,169.34146118164062
2023-06-26,168.26756286621094
2023-06-27,169.4779815673828
2023-06-28,167.18453979492188
2023-06-29,167.3483428955078
2023-06-30,168.56790161132812
2023-07-03,168.91372680664062
2023-07-05,169.80560302734375
2023-07-06,169.8238067626953
2023-07-07,166.6203155517578
2023-07-10,167.7305908203125
2023-07-11,167.43936157226562
2023-07-12,166.70217895507812
2023-07-13,170.6702117919922
2023-07-14,171.28909301757812
2023-07-17,168.94102478027344
2023-07-18,167.86709594726562
2023-07-19,169.51438903808594
2023-07-20,172.2810821533203
2023-07-21,173.06373596191406
2023-07-24,173.7554168701172
2023-07-25,174.15585327148438
2023-07-26,174.37429809570312
