Date,HESAY
2023-01-03,153.16249084472656
2023-01-04,159.5252685546875
2023-01-05,158.3516387939453
2023-01-06,164.47193908691406
2023-01-09,166.61550903320312
2023-01-10,167.95399475097656
2023-01-11,169.9132537841797
2023-01-12,170.35943603515625
2023-01-13,174.41375732421875
2023-01-17,173.27894592285156
2023-01-18,173.23043823242188
2023-01-19,170.23333740234375
2023-01-20,172.32838439941406
2023-01-23,174.00637817382812
2023-01-24,174.16159057617188
2023-01-25,176.1790313720703
2023-01-26,179.39923095703125
2023-01-27,179.2052459716797
2023-01-30,178.90455627441406
2023-01-31,181.62039184570312
2023-02-01,182.27992248535156
2023-02-02,183.86094665527344
2023-02-03,185.44190979003906
2023-02-06,181.8046875
2023-02-07,179.79690551757812
2023-02-08,175.73287963867188
2023-02-09,176.11114501953125
2023-02-10,173.93850708007812
2023-02-13,178.95306396484375
2023-02-14,180.0975799560547
2023-02-15,180.50497436523438
2023-02-16,179.51565551757812
2023-02-17,182.3090362548828
2023-02-21,176.41184997558594
2023-02-22,177.86672973632812
2023-02-23,178.52630615234375
2023-02-24,173.51419067382812
2023-02-27,177.79052734375
2023-02-28,176.63400268554688
2023-03-01,177.4989776611328
2023-03-02,178.7527313232422
2023-03-03,180.06483459472656
2023-03-06,180.28836059570312
2023-03-07,179.2581329345703
2023-03-08,177.32403564453125
2023-03-09,175.302490234375
2023-03-10,175.85647583007812
2023-03-13,176.28411865234375
2023-03-14,180.85206604003906
2023-03-15,175.52603149414062
2023-03-16,183.93299865722656
2023-03-17,179.46221923828125
2023-03-20,183.65113830566406
2023-03-21,184.2051239013672
2023-03-22,185.34225463867188
2023-03-23,187.67483520507812
2023-03-24,187.8692169189453
2023-03-27,190.33782958984375
2023-03-28,188.98690795898438
2023-03-29,192.27194213867188
2023-03-30,195.03213500976562
2023-03-31,197.11203002929688
2023-04-03,197.7826690673828
2023-04-04,201.2523651123047
2023-04-05,202.23397827148438
2023-04-06,199.04611206054688
2023-04-10,198.5990447998047
