Date,SBUX
2023-01-03,93.15758514404297
2023-01-04,96.51136016845703
2023-01-05,96.483642578125
2023-01-06,98.57168579101562
2023-01-09,96.77005004882812
2023-01-10,97.93416595458984
2023-01-11,98.21135711669922
2023-01-12,97.79559326171875
2023-01-13,99.07059478759766
2023-01-17,98.6270980834961
2023-01-18,97.01028442382812
2023-01-19,96.32658386230469
2023-01-20,97.04723358154297
2023-01-23,98.12821197509766
2023-01-24,98.52548217773438
2023-01-25,98.83960723876953
2023-01-26,100.48416900634766
2023-01-27,100.72438049316406
2023-01-30,100.15157318115234
2023-01-31,100.83524322509766
2023-02-01,101.62056732177734
2023-02-02,100.844482421875
2023-02-03,96.36353302001953
2023-02-06,97.02874755859375
2023-02-07,98.70101928710938
2023-02-08,98.21135711669922
2023-02-09,98.4713363647461
2023-02-10,99.43699645996094
2023-02-13,100.76483154296875
2023-02-14,100.26342010498047
2023-02-15,101.21051788330078
2023-02-16,99.8548583984375
2023-02-17,99.44630432128906
2023-02-21,97.2920913696289
2023-02-22,97.2828140258789
2023-02-23,96.11286926269531
2023-02-24,94.33937072753906
2023-02-27,95.11933135986328
2023-02-28,94.7943344116211
2023-03-01,94.18150329589844
2023-03-02,95.64859008789062
2023-03-03,97.07852935791016
2023-03-06,97.4870834350586
2023-03-07,95.95499420166016
2023-03-08,95.17504119873047
2023-03-09,93.13225555419922
2023-03-10,92.27799224853516
2023-03-13,91.99942779541016
2023-03-14,92.35227966308594
2023-03-15,92.24085235595703
2023-03-16,93.2529525756836
2023-03-17,91.6465835571289
2023-03-20,92.71440887451172
2023-03-21,93.3551025390625
2023-03-22,92.03658294677734
2023-03-23,91.3865966796875
2023-03-24,91.31232452392578
2023-03-27,91.60945129394531
2023-03-28,91.66517639160156
2023-03-29,93.42938232421875
2023-03-30,94.07936096191406
2023-03-31,96.68853759765625
2023-04-03,97.35710144042969
2023-04-04,96.5678482055664
2023-04-05,97.40350341796875
2023-04-06,97.19924926757812
2023-04-10,97.25495147705078
2023-04-11,98.18348693847656
2023-04-12,98.0534896850586
2023-04-13,99.34417724609375
2023-04-14,99.78985595703125
2023-04-17,100.56982421875
2023-04-18,100.19843292236328
2023-04-19,99.50202941894531
2023-04-20,99.3998794555664
2023-04-21,100.45841979980469
2023-04-24,101.47979736328125
2023-04-25,101.52621459960938
2023-04-26,103.50401306152344
2023-04-27,104.69255065917969
2023-04-28,106.12246704101562
2023-05-01,106.3731918334961
2023-05-02,106.28032684326172
2023-05-03,96.53069305419922
2023-05-04,97.23638916015625
2023-05-05,99.54842376708984
2023-05-08,99.51128387451172
2023-05-09,99.08416748046875
2023-05-10,99.3255844116211
2023-05-11,98.5697250366211
2023-05-12,99.02698516845703
2023-05-15,99.5122299194336
2023-05-16,98.24311828613281
2023-05-17,98.6257095336914
2023-05-18,99.93213653564453
2023-05-19,98.4577407836914
2023-05-22,96.02220153808594
2023-05-23,93.63331604003906
2023-05-24,92.95210266113281
2023-05-25,91.86030578613281
2023-05-26,91.94429016113281
2023-05-30,91.21641540527344
2023-05-31,91.11377716064453
2023-06-01,91.0018081665039
2023-06-02,92.84944915771484
2023-06-05,93.2507095336914
2023-06-06,91.65502166748047
2023-06-07,91.37506103515625
2023-06-08,92.5228500366211
2023-06-09,91.41238403320312
2023-06-12,91.87897491455078
2023-06-13,92.62549591064453
2023-06-14,93.93193054199219
2023-06-15,94.60379791259766
2023-06-16,95.06104278564453
2023-06-20,94.50113677978516
2023-06-21,95.06104278564453
2023-06-22,94.10922241210938
2023-06-23,91.7669906616211
2023-06-26,91.66434478759766
2023-06-27,92.12158203125
2023-06-28,92.01895141601562
2023-06-29,92.08425903320312
2023-06-30,92.43885803222656
2023-07-03,92.5228500366211
2023-07-05,91.87897491455078
2023-07-06,89.77001190185547
2023-07-07,89.63005828857422
2023-07-10,92.50418853759766
2023-07-11,93.40001678466797
2023-07-12,94.37984466552734
2023-07-13,94.80909729003906
2023-07-14,94.81842041015625
2023-07-17,94.18388366699219
2023-07-18,94.0252456665039
2023-07-19,95.02372741699219
2023-07-20,94.13721466064453
2023-07-21,95.94754791259766
2023-07-24,95.91022491455078
2023-07-25,96.04086303710938
2023-07-26,94.930419921875
2023-07-27,94.04389953613281
2023-07-28,94.48247528076172
2023-07-31,94.78109741210938
2023-08-01,94.49181365966797
2023-08-02,95.30368041992188
2023-08-03,95.49031066894531
2023-08-04,93.9505844116211
2023-08-07,94.93974304199219
2023-08-08,93.96925354003906
2023-08-09,93.24137878417969
2023-08-10,95.37095642089844
2023-08-11,94.74240112304688
2023-08-14,94.76116943359375
2023-08-15,93.85118103027344
2023-08-16,92.85674285888672
2023-08-17,90.5958251953125
2023-08-18,91.21499633789062
2023-08-21,90.49264526367188
2023-08-22,90.12676239013672
2023-08-23,89.29183197021484
2023-08-24,88.9634780883789
2023-08-25,89.57327270507812
2023-08-28,91.03677368164062
2023-08-29,93.01622772216797
2023-08-30,93.10065460205078
2023-08-31,91.4120101928711
2023-09-01,91.93736267089844
2023-09-05,90.84912872314453
2023-09-06,90.01419067382812
2023-09-07,89.21678161621094
2023-09-08,89.3856430053711
2023-09-11,89.75151824951172
2023-09-12,90.2862548828125
2023-09-13,90.9335708618164
2023-09-14,91.14933013916016
2023-09-15,90.27687072753906
2023-09-18,90.77407836914062
2023-09-19,89.39501190185547
2023-09-20,89.2730712890625
2023-09-21,87.34049224853516
2023-09-22,87.88462829589844
2023-09-25,87.0027847290039
2023-09-26,86.30855560302734
2023-09-27,85.52989196777344
2023-09-28,85.44547271728516
2023-09-29,85.62371063232422
2023-10-02,85.49237823486328
2023-10-03,83.94446563720703
2023-10-04,85.51115417480469
2023-10-05,86.65567016601562
2023-10-06,87.10597229003906
2023-10-09,86.94648742675781
2023-10-10,87.41555786132812
2023-10-11,86.26164245605469
2023-10-12,85.7644271850586
2023-10-13,85.82072448730469
2023-10-16,87.85647583007812
2023-10-17,88.35370635986328
2023-10-18,87.9502944946289
2023-10-19,88.57884979248047
2023-10-20,88.36308288574219
2023-10-23,88.3724594116211
2023-10-24,88.7664794921875
2023-10-25,88.18482208251953
2023-10-26,86.9371109008789
2023-10-27,86.32730865478516
2023-10-30,87.38742065429688
2023-10-31,86.5337142944336
2023-11-01,85.69876098632812
2023-11-02,93.8230209350586
2023-11-03,96.29971313476562
2023-11-06,97.59434509277344
2023-11-07,97.26598358154297
2023-11-08,97.84764099121094
2023-11-09,96.43269348144531
2023-11-10,98.41360473632812
2023-11-13,97.6401138305664
2023-11-14,99.6115951538086
2023-11-15,100.01719665527344
2023-11-16,101.13027954101562
2023-11-17,99.58328247070312
2023-11-20,98.38531494140625
2023-11-21,97.80989837646484
2023-11-22,97.57408142089844
2023-11-24,96.95149993896484
2023-11-27,96.5553207397461
2023-11-28,95.4422378540039
2023-11-29,94.18766021728516
2023-11-30,93.6688461303711
2023-12-01,93.57451629638672
2023-12-04,92.06525421142578
2023-12-05,90.1220703125
2023-12-06,91.51814270019531
2023-12-07,90.97103881835938
2023-12-08,91.13138580322266
2023-12-11,92.5557632446289
2023-12-12,92.58407592773438
2023-12-13,92.54633331298828
2023-12-14,92.29164123535156
2023-12-15,91.2634506225586
2023-12-18,91.08422088623047
2023-12-19,92.1784439086914
2023-12-20,89.33914184570312
2023-12-21,89.92398834228516
2023-12-22,89.87681579589844
2023-12-26,90.24469757080078
2023-12-27,89.8862533569336
2023-12-28,90.48995971679688
2023-12-29,90.56541442871094
2024-01-02,88.35811614990234
2024-01-03,87.94307708740234
2024-01-04,88.24492645263672
2024-01-05,87.71668243408203
2024-01-08,88.8486328125
2024-01-09,87.8110122680664
2024-01-10,88.19775390625
2024-01-11,87.66952514648438
2024-01-12,86.76396179199219
2024-01-16,87.44312286376953
2024-01-17,86.56586456298828
2024-01-18,88.04682922363281
2024-01-19,88.53734588623047
2024-01-22,87.7921371459961
2024-01-23,86.75450897216797
2024-01-24,86.82054138183594
2024-01-25,87.35823059082031
2024-01-26,87.53746032714844
2024-01-29,88.48075866699219
2024-01-30,88.744873046875
2024-01-31,87.75440216064453
2024-02-01,88.07514953613281
2024-02-02,87.71668243408203
2024-02-05,87.26390838623047
2024-02-06,90.24469757080078
2024-02-07,89.90512084960938
2024-02-08,91.66069030761719
2024-02-09,92.33447265625
2024-02-12,90.59786224365234
2024-02-13,89.07952117919922
2024-02-14,89.2693099975586
2024-02-15,88.46268463134766
2024-02-16,88.46268463134766
2024-02-20,88.69044494628906
2024-02-21,90.17083740234375
2024-02-22,90.89205169677734
2024-02-23,90.74022674560547
2024-02-26,89.46858978271484
2024-02-27,89.32625579833984
2024-02-28,88.2539291381836
2024-02-29,90.05695343017578
2024-03-01,88.40576171875
2024-03-04,87.7414779663086
